SAMPLE ID	Treatment	GENOTYPE	Cage	Age	Time to cross challenge beam  (s)	Adhesive removal (s)	Time to descend Pole (s)	Errors on bean crossing (n)	Weight (g)	Bead Expulsion time (s)	Fecal Output (n)	file_paths	uuid
CALTEC-001-ASO1_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	1	5 months	10.02	11.56	6.72	5	31	225	1	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO1_Vanco/CALTEC-001-ASO1_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO1_Vanco/CALTEC-001-ASO1_Vanco_R2.fastq.gz;	ca40cc40-c64f-42e6-aac6-e5487b6e6302
CALTEC-001-ASO2_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	1	5 months	12.19	15.07	30	4	28	232	5	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO2_Vanco/CALTEC-001-ASO2_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO2_Vanco/CALTEC-001-ASO2_Vanco_R2.fastq.gz;	69509782-dd59-4419-b7e3-8d1cd38b2342
CALTEC-001-ASO3_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	1	5 months	10.25	13.2	14.21	4	33.5	300	0	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO3_Vanco/CALTEC-001-ASO3_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO3_Vanco/CALTEC-001-ASO3_Vanco_R2.fastq.gz;	00f4777c-8f72-44ce-9ac7-89454c01a453
CALTEC-001-ASO4_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	1	5 months	20.71	13.15	30	8	33	300	2	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO4_Vanco/CALTEC-001-ASO4_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO4_Vanco/CALTEC-001-ASO4_Vanco_R2.fastq.gz;	67919a94-0358-43e8-98b3-88c6a33fcdf3
CALTEC-001-ASO5_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	2	5 months	25.84	11.85	7.32	6	29	182	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO5_Vanco/CALTEC-001-ASO5_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO5_Vanco/CALTEC-001-ASO5_Vanco_R2.fastq.gz;	8f5dc4b4-8185-40d9-971d-fee798b6f5b7
CALTEC-001-ASO6_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	2	5 months	30	2.03	30	9	28.5	268	7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO6_Vanco/CALTEC-001-ASO6_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO6_Vanco/CALTEC-001-ASO6_Vanco_R2.fastq.gz;	dbe8f62a-2176-4857-9981-13a3a4762cee
CALTEC-001-ASO7_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	2	5 months	27	15	28	11	28	265	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO7_Vanco/CALTEC-001-ASO7_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO7_Vanco/CALTEC-001-ASO7_Vanco_R2.fastq.gz;	7560cad7-7c50-4c3d-8daa-e3f61e2129d5
CALTEC-001-ASO8_Vanco	FMT from 2month-old WT animals treated with vancomycin	ASO 	2	5 months	26	17	24	8	27	234	1	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO8_Vanco/CALTEC-001-ASO8_Vanco_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO8_Vanco/CALTEC-001-ASO8_Vanco_R2.fastq.gz;	7d7ccd5b-e11d-4334-8672-74809d03e125
CALTEC-001-201	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	3	5 months	30	2.94	30	9	33	231	6	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-201/CALTEC-001-201_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-201/CALTEC-001-201_R2.fastq.gz;	f0a6cba6-386c-434a-ba5d-4c9979f654af
CALTEC-001-202	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	3	5 months	30	1.81	30	5	35	196	10	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-202/CALTEC-001-202_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-202/CALTEC-001-202_R2.fastq.gz;	9d57d773-1e2b-4d2d-ba2c-4e52eeec9dae
CALTEC-001-203	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	3	5 months	9.41	1.09	5.13	1	30.5	174	7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-203/CALTEC-001-203_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-203/CALTEC-001-203_R2.fastq.gz;	0497c2f4-4953-4b32-9251-72d94f4732fe
CALTEC-001-204	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	3	5 months	19.15	1	7.44	2	38	172	14	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-204/CALTEC-001-204_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-204/CALTEC-001-204_R2.fastq.gz;	891a3f13-2d65-49bd-ae55-db139a757508
CALTEC-001-205	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	4	5 months	9.89	16.34	7.84	4	38	201	10	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-205/CALTEC-001-205_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-205/CALTEC-001-205_R2.fastq.gz;	b5b3de44-390c-4d9a-b912-5aa028df9e13
CALTEC-001-206	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	4	5 months	30	2.62	21.155	5	33	181	9	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-206/CALTEC-001-206_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-206/CALTEC-001-206_R2.fastq.gz;	9dc340a9-0630-4d16-bd2d-d0c7aeba9703
CALTEC-001-207	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	4	5 months	7.4	11.07	30	4	31.4	171	7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-207/CALTEC-001-207_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-207/CALTEC-001-207_R2.fastq.gz;	a75f2d82-c2d5-4a2b-afcf-6573d7c6b634
CALTEC-001-208	FMT from 2month-old WT animals treated with Gentamycin/Neomycin transplant	ASO 	4	5 months	30	2.06	30	10	33.5	178	1	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-208/CALTEC-001-208_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-208/CALTEC-001-208_R2.fastq.gz;	59ca6be5-1e9f-448c-9acf-541187340245
CALTEC-001-209	FMT from 2month-old WT animals treated with  Ampicilin transplant	ASO 	5	5 months	8.34	1.34	11.32	1	33	176	7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-209/CALTEC-001-209_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-209/CALTEC-001-209_R2.fastq.gz;	7efa1c93-7255-4688-998b-8a378c4ed759
CALTEC-001-210	FMT from 2month-old WT animals treated with  Ampicilin transplant	ASO 	5	5 months	5.67	6.8	10.54	4	32	186	11	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-210/CALTEC-001-210_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-210/CALTEC-001-210_R2.fastq.gz;	0d7faac2-6f29-4b12-80b0-87ce1892c91b
CALTEC-001-211	FMT from 2month-old WT animals treated with  Ampicilin transplant	ASO 	5	5 months	10.22	2	9.45	2	34	199	12	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-211/CALTEC-001-211_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-211/CALTEC-001-211_R2.fastq.gz;	7efb0d3f-fbfd-474d-abc6-37220c6349f5
CALTEC-001-212	FMT from 2month-old WT animals treated with  Ampicilin transplant	ASO 	5	5 months	7.88	3.45	19.23	3	38	178	11	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-212/CALTEC-001-212_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-212/CALTEC-001-212_R2.fastq.gz;	ea962aff-0f1b-4fda-b8ea-badd8ca5691f
CALTEC-001-213	FMT from 2month-old WT animals treated with  Ampicilin transplant	ASO 	6	5 months	19.34	1.76	8.98	1	37	180	9	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-213/CALTEC-001-213_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-213/CALTEC-001-213_R2.fastq.gz;	c9530a2d-c99c-44b9-8e53-64f2414095f8
CALTEC-001-214	FMT from 2month-old WT animals treated with  Ampicilin transplant	ASO 	6	5 months	11	0.67	7.35	5	33	196	6	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-214/CALTEC-001-214_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-214/CALTEC-001-214_R2.fastq.gz;	ef35c691-a19f-4114-acdf-9a016d5843b4
CALTEC-001-215	FMT from 2month-old WT animals treated with  Ampicilin transplant	ASO 	6	5 months	16.45	2.55	10.22	1	34	198	12	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-215/CALTEC-001-215_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-215/CALTEC-001-215_R2.fastq.gz;	8493de91-62b3-4270-94e2-691fcbacc8cb
CALTEC-001-216	FMT from 2month-old WT animals treated with  Ampicilin transplant	ASO 	6	5 months	12.32	1.23	11.43	0	36	201	11	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-216/CALTEC-001-216_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-216/CALTEC-001-216_R2.fastq.gz;	ade41765-58b5-4061-8b20-e89d0974882b
CALTEC-001-217	FMT from 2month-old WT animals treated with  Erythromycin transplant	ASO 	6	5 months	6.67	0.42	9.43	1	37	181	7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-217/CALTEC-001-217_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-217/CALTEC-001-217_R2.fastq.gz;	e60cd0e0-0553-48a5-abea-e2c621583752
CALTEC-001-218	FMT from 2month-old WT animals treated with  Erythromycin transplant	ASO 	7	5 months	18.97	5.89	11.23	1	38	171	11	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-218/CALTEC-001-218_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-218/CALTEC-001-218_R2.fastq.gz;	3a4c59d9-81bb-43dc-b9ac-f013c41e4805
CALTEC-001-219	FMT from 2month-old WT animals treated with  Erythromycin transplant	ASO 	7	5 months	18.43	1.59	15.34	0	34.5	186	7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-219/CALTEC-001-219_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-219/CALTEC-001-219_R2.fastq.gz;	2f55a562-12f8-48d5-9c07-5fcadb70b105
CALTEC-001-220	FMT from 2month-old WT animals treated with  Erythromycin transplant	ASO 	7	5 months	10.34	1.56	10.23	6	33.5	200	10	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-220/CALTEC-001-220_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-220/CALTEC-001-220_R2.fastq.gz;	ca7500a7-e494-4054-8de6-1c91c38e9b9d
CALTEC-001-221	FMT from 2month-old WT animals treated with  Erythromycin transplant	ASO 	7	5 months	9.45	8.45	8.54	2	36.5	189	15	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-221/CALTEC-001-221_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-221/CALTEC-001-221_R2.fastq.gz;	8f932150-2d36-4ce8-8eef-487589db3252
CALTEC-001-222	FMT from 2month-old WT animals treated with  Erythromycin transplant	ASO 	8	5 months	8.44	2.31	7.9	1	39	179	13	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-222/CALTEC-001-222_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-222/CALTEC-001-222_R2.fastq.gz;	b9e17f2f-61d6-4cf3-9ba0-11501676d45d
CALTEC-001-223	FMT from 2month-old WT animals treated with  Erythromycin transplant	ASO 	8	5 months	12.71	1.45	12.68	3	38.5	190	12	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-223/CALTEC-001-223_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-223/CALTEC-001-223_R2.fastq.gz;	1fd43a3c-3b6b-4232-915e-d65ab0e47a29
CALTEC-001-224	FMT from 2month-old WT animals treated with  Erythromycin transplant	ASO 	8	5 months	19.23	4.32	9.45	2	35.6	202	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-224/CALTEC-001-224_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-224/CALTEC-001-224_R2.fastq.gz;	43d8a72e-4438-45ab-b40e-fe3fbc7688ec
CALTEC-001-225	Fecal pellet from 5month old ASO animals 	ASO 	8	5 months	30	12.7	30	12	28.5	300	4	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-225/CALTEC-001-225_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-225/CALTEC-001-225_R2.fastq.gz;	7a71ddbf-11db-4ff6-95ea-15e5f5485200
CALTEC-001-226	Fecal pellet from 5month old ASO animals 	ASO 	9	5 months	16.12	13.39	30	10	32.5	300	4	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-226/CALTEC-001-226_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-226/CALTEC-001-226_R2.fastq.gz;	f22c5a0c-c38f-4aa4-bc55-8d3b159dbb4b
CALTEC-001-227	Fecal pellet from 5month old ASO animals 	ASO 	9	5 months	28.08	7.65	30	5	35	275	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-227/CALTEC-001-227_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-227/CALTEC-001-227_R2.fastq.gz;	d68b9685-0edb-4d59-86b6-fbabef9472a5
CALTEC-001-228	Fecal pellet from 5month old ASO animals 	ASO 	9	5 months	30	11.14	19	10	28	282	1	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-228/CALTEC-001-228_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-228/CALTEC-001-228_R2.fastq.gz;	6281f7b3-814d-4152-973b-a5c38be881ce
CALTEC-001-229	Fecal pellet from 5month old ASO animals 	ASO 	9	5 months	23.27	11.19	30	8	30	278	6	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-229/CALTEC-001-229_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-229/CALTEC-001-229_R2.fastq.gz;	2ca2a8d6-9ace-4dfe-a467-948f58b99136
CALTEC-001-230	Fecal pellet from 5month old ASO animals 	ASO 	9	5 months	9.27	2.4	19	5	27	289	4	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-230/CALTEC-001-230_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-230/CALTEC-001-230_R2.fastq.gz;	3a3d35e7-194a-4a04-a862-b920ae4feafb
CALTEC-001-231	Fecal pellet from 5month old ASO animals 	ASO 	10	5 months	25	18	28	7	27	287	6	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-231/CALTEC-001-231_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-231/CALTEC-001-231_R2.fastq.gz;	b7af1702-b27a-4361-a441-eaa4f27dd4b1
CALTEC-001-232	Fecal pellet from 5month old ASO animals 	ASO 	10	5 months	30	19	25	9	28	222	1	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-232/CALTEC-001-232_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-232/CALTEC-001-232_R2.fastq.gz;	390b3a4b-193a-4f21-8a96-dae81ba24419
CALTEC-001-233	Fecal pellet from 5month old ASO animals 	ASO 	10	5 months	25	15	22.12	6	29	221	5	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-233/CALTEC-001-233_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-233/CALTEC-001-233_R2.fastq.gz;	08000595-8b09-4114-a9d0-1d80e6f0afd0
CALTEC-001-234	Fecal pellet from 5month old ASO animals 	ASO 	10	5 months	30	17.89	17.65	8	29.5	254	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-234/CALTEC-001-234_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-234/CALTEC-001-234_R2.fastq.gz;	1ba48b13-f071-4f90-93b9-b075b2eeb765
